taxon_code,Habitat
PIsbgund,Benthos
PIsru,Benthos
PItir,Benthos
Plviri,Benthos
PIvir,Benthos
PCelg,Benthos
PCign,Benthos
PCsp.,Benthos
PTdau,Benthos
PTdel,Benthos
PTeli,Benthos
PTeng,Benthos
PTfre,Benthos
PTgra,Benthos
PThau,Benthos
PTlan,Benthos
PTmin,Benthos
PTpum,Benthos
PTsp.,Benthos
PTsp1,Benthos
PLhus,Benthos
PLcon,Benthos
PLlut,Benthos
PLobl,Benthos
PLsp.,Benthos
PSsba,Benthos
PSalt,Benthos
PShel,Benthos
PSlev,Benthos
PSmar,Benthos
PSros,Benthos
PSsp.,Benthos
PDbre,Tychoplankton.FR
PDbreinf,Tychoplankton.FR
PDeli,Tychoplankton.FR
PDpar,Tychoplankton.FR
PDparsub,Tychoplankton.FR
PDpse,Tychoplankton.FR
PDrob,Tychoplankton.FR
PDsp1,Tychoplankton.FR
PDsp2,Tychoplankton.FR
PRsp1,Tychoplankton.FR
PDsp.,Benthos
PPsp.,Benthos
PSIsp1,Tychoplankton.FR
PKlan,Benthos
ROabb,Benthos
RPgib,Benthos
RPgbr,Benthos
RPope,Benthos
RPrup,Benthos
RPste,Benthos
RSpus,Benthos
SS_spA,Benthos
SSsbg,Benthos
SFato,Benthos
SFjou,Benthos
SFlae,Benthos
SLmin,Benthos
SFmut,Benthos
SFmts,Benthos
SFnig,Benthos
SFpsp,Benthos
SFpup,Benthos
SFrad,Benthos
SFrae.cf,Benthos
SFspr,Benthos
SFsau,Benthos
SFsem,Benthos
SFsp.,Benthos
SFsp1,Benthos
SFspp.,Benthos
SFsbr,Benthos
SFute,Benthos
SFute.aff,Benthos
SFvit,Benthos
SOexi,Benthos
SSaci,Benthos
SSlun,Benthos
SSagr,Benthos
SSanc,Benthos
SSgrr,Benthos
SSgra,Benthos
SSkri,Benthos
SSpho,Benthos
SSsp.,Benthos
SSthe,Benthos
SRconbin,Tychoplankton.FR
SRcon,Tychoplankton.FR
SApin,Tychoplankton.FR
SRpse,Tychoplankton.FR
SRsp.,Tychoplankton.FR
SRsp1,Tychoplankton.FR
SRcon.cx,Tychoplankton.FR
PDptd,Tychoplankton.FR
SRssa,Tychoplankton.FR
SRven,Tychoplankton.FR
SAmut.cf,Tychoplankton.FR
SAazo,Tychoplankton.FR
SAlap,Tychoplankton.FR
SAlep,Tychoplankton.FR
SAmar,Tychoplankton.FR
SAmut,Tychoplankton.FR
SAold,Tychoplankton.FR
SApintri,Tychoplankton.FR
SAsp.,Tychoplankton.FR
SNdel,Benthos
SThan,Benthos
STpar,Benthos
STsp.,Benthos
SUang,Benthos
SUbis,Benthos
SUgru,Benthos
SUlin,Benthos
SUrob,Benthos
SUrot,Benthos
SUsp.,Benthos
SUter,Benthos
TAflo,Benthos
TAflo.mf1,Benthos
TAflo.mf2,Benthos
TBfas,Benthos
TYdeb.af,Benthos
TYlit,Benthos
TYsp,Benthos
TYsp.,Benthos
ULacu,Plankton
ULbic,Plankton
ULeri,Plankton
ULdan,Plankton
ULdel,Plankton
ULsp.,Plankton
ULuln,Plankton
ULuln1,Plankton
ULuln2,Plankton
UReri,Plankton
